reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,is_delayed,total_late_percent
2024,ABERDEEN,CANADA,TORONTO,TUI AIRWAYS LTD,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,44.0,0,0.0
2024,ABERDEEN,AZERBAIJAN,BAKU (HEYDER ALIYEV INT'L),AIR HAMBURG,C,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2024,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,26,0,0,0.0,11.538462,50.0,19.230769,15.384615,3.846154,0.0,0.0,0.0,0.0,0.0,17.269231,26,73.076923,12.192308,1,38.461538
2024,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,66,0,0,1.515152,18.181818,22.727273,19.69697,13.636364,16.666667,4.545455,3.030303,0.0,0.0,0.0,37.848485,68,61.764706,25.691176,1,57.57575899999999
2024,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,276,0,2,11.151079,28.776978,27.697842,7.913669,10.791367,7.194245,2.877698,2.877698,0.0,0.0,0.719424,25.561594,254,68.75,16.488189,1,31.654676999999996
2024,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,562,0,9,17.162872,50.437828,16.287215,5.779335,4.378284,3.152364,0.525394,0.700525,0.0,0.0,1.576182,9.261566,558,66.958042,22.311828,0,14.535902000000002
2024,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,LOGANAIR LTD,S,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,336.0,0,0.0,0.0,1,100.0
2024,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,TUI AIRWAYS LTD,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,58.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,1700,0,26,7.358053,49.304751,27.230591,5.561993,4.577057,3.592121,0.637312,0.23175,0.0,0.0,1.506373,9.262941,1633,65.171192,21.44703,0,14.600233000000001
2024,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,539,0,25,20.921986,38.475177,21.276596,6.205674,4.255319,3.900709,0.531915,0.0,0.0,0.0,4.432624,8.799629,556,70.190641,17.208633,0,14.893617
2024,ABERDEEN,UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,2,0,0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,0,50.0
2024,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,C,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0.0,0.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,S,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,0.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,6,0,3,0.0,0.0,22.222222,11.111111,22.222222,0.0,0.0,11.111111,0.0,0.0,33.333333,53.833333,7,12.5,66.857143,1,44.444444
2024,ABERDEEN,UNITED KINGDOM,GLASGOW,EASYJET UK LTD,S,2,0,0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0.0,0.0,1,50.0
2024,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,15.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,S,2,0,0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3,33.333333,69.0,1,50.0
2024,ABERDEEN,UNITED KINGDOM,GUERNSEY,AURIGNY AIR SERVICES,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,53.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,GUERNSEY,AURIGNY AIR SERVICES,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,14.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,GUERNSEY,LOGANAIR LTD,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,46.25,0,0.0
2024,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,648,0,169,2.203182,32.435741,25.826193,5.752754,5.507956,4.283966,2.325581,0.979192,0.0,0.0,20.685435,17.817901,656,67.509987,17.329268,1,18.849449
2024,ABERDEEN,UNITED KINGDOM,INVERNESS,BRITISH AIRWAYS PLC,S,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,S,2,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,62.5,0,0.0,0.0,1,50.0
2024,ABERDEEN,UNITED KINGDOM,INVERNESS,LOGANAIR LTD,S,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,ISLE OF MAN,LOGANAIR LTD,S,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,0.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,KIRKWALL,EASTERN AIRWAYS,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,4.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,C,3,0,0,0.0,33.333333,66.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.666667,1,0.0,18.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,1402,0,74,10.433604,40.582656,24.796748,6.842818,5.623306,3.861789,1.761518,1.084011,0.0,0.0,5.01355,14.130528,1708,73.251942,16.707845,0,19.173442
2024,ABERDEEN,UNITED KINGDOM,LIVERPOOL (JOHN LENNON),BRITISH AIRWAYS PLC,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,1460,0,18,6.495264,39.445196,24.289581,9.810555,7.780785,7.510149,2.435724,0.811908,0.202977,0.0,1.217862,19.678082,1460,71.699391,17.580137,1,28.552098
2024,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,4643,0,166,6.217509,40.486588,24.953213,11.124974,8.879185,4.096486,0.457476,0.33271,0.0,0.0,3.451861,12.885204,3831,62.352646,18.137823,0,24.890831
2024,ABERDEEN,UNITED KINGDOM,HEATHROW,LOGANAIR LTD,S,5,0,0,0.0,0.0,0.0,40.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,84.2,2,50.0,23.0,1,100.0
2024,ABERDEEN,UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,93.75,2.625,0,0.0
2024,ABERDEEN,UNITED KINGDOM,LONDON CITY,LOGANAIR LTD,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,168.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,579,0,12,6.42978,34.686971,27.918782,12.85956,10.659898,3.384095,1.522843,0.338409,0.169205,0.0,2.030457,15.590674,636,64.133739,21.993711,1,28.934009999999997
2024,ABERDEEN,UNITED KINGDOM,LUTON,TUI AIRWAYS LTD,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,12.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,STANSTED,EASTERN AIRWAYS,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,33.333333,24.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,CITY OF DERRY (EGLINTON),EASTERN AIRWAYS,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,3.0,0,0.0
2024,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,1682,0,20,11.633373,45.710928,25.616921,6.874266,4.524089,3.172738,0.763807,0.52879,0.0,0.0,1.175088,9.680143,1799,67.761033,20.91662,0,15.863690000000002
2024,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,63.939394,12.618677,0,0.0
2024,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,178,0,11,15.343915,43.386243,17.989418,4.761905,4.232804,6.349206,2.116402,0.0,0.0,0.0,5.820106,13.775281,533,72.972973,18.585366,0,17.460317
2024,ABERDEEN,UNITED KINGDOM,NEWQUAY,EASTERN AIRWAYS,C,2,0,0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0.0,0.0,1,50.0
2024,ABERDEEN,UNITED KINGDOM,NEWQUAY,EASTERN AIRWAYS,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,61.702128,8.868421,0,0.0
2024,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,373,0,4,7.692308,38.72679,34.482759,7.161804,5.570292,3.713528,1.32626,0.265252,0.0,0.0,1.061008,11.243968,270,70.695971,16.396296,0,18.037136000000004
2024,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,1102,0,15,20.590868,46.732319,19.15846,4.923903,4.38675,2.059087,0.80573,0.0,0.0,0.0,1.342883,6.983666,1060,71.689498,17.910377,0,12.17547
2024,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,5,0,2,0.0,14.285714,0.0,14.285714,28.571429,14.285714,0.0,0.0,0.0,0.0,28.571429,33.8,9,60.0,78.333333,1,57.142857
2024,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,1727,0,125,7.559395,31.479482,31.533477,7.721382,6.425486,5.237581,2.483801,0.809935,0.0,0.0,6.74946,16.874349,1866,56.888663,25.869775,1,22.678185
2024,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,104,0,5,15.59633,44.036697,5.504587,3.669725,8.256881,15.59633,2.752294,0.0,0.0,0.0,4.587156,23.230769,208,51.162791,41.072115,1,30.27523
2024,ABERDEEN,UNITED KINGDOM,STORNOWAY,LOGANAIR LTD,S,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0,0.0
